Text,Label
"   کله چې ټرمپ له افغانستانه دخپلو ځواکونو د اېستلو خبره وکړه اشرف غني ټرمپ ته ليک واستاوه چې افغانستان کې ډېر معدنونه دي دا استخراج کړه د جګړې مصرف او عوايد ترلاسه کړه
ټرمپ چې لدې خبر شو ويل دا خو زموږ حق دی بايد چين ته پاتې نشي کوم ملک چې بل ملک اشغال کړي هرڅه يې د اشغالګر وي",2
"پاکستاني چارواکو د چاودنې له کبله تر دې دمه لږ تر لږه د ۳۲ کسانو د وژل کیدو او ۱۵۰ نورو ټپي کیدو پخلی کړی دی.
په پېښور کې له دغې درنې چاودنې وروسته د اسلام اباد پولیسو مشر اکبر ناصر خان پاکستانۍ پلازمېنه کې د امنیتي تدابیرو د ډيریدو اعلان کړی.
              .                          ",0
   زما په نظر حکومت غواری په لوی خلک نافرمانی ته وهسوی,2
"   عجيبه ده.
دالله ج قدرتونه دي",1
   ټرمپ زومړې ته ووايه د بايډن له ضده يو چکر افغانستان ته راشه.,0
   ياره دا در وازي ستاسي په وجود کشي دايمي بندي بوله نور درواغ مه واياست کبیره ګناه ده,2
   الله ج دی دوی نورهم تباه کړی,2
"په کندهار کې یو شمېر ښځینه روغتیاپالانو هم بي بي سي ته تایید کړې چې ترې غوښتل شوي له دې وروسته دې له خپل یوه محرم سره خپلو کارځایونو لاړې او راشي.
              .                          ",0
"   څومره بد شکاری سی اوږده ږیره یی نیولی وی ځان ته عالم هم وای خو بیا هم منافقت کوی او دروغ وای، خبریاله ما تمه لرله چه ته به ورته ووایی چه اول خمارت کی د ۷ کاله خویندی له حق نه محرومه کړی کاذب لعنتی انسانه، والله دروغ وایی دا د سپی زامن",2
   سم وایه چې نکیږی,0
"د پېښور پولیسو لاین سیمه د دغې ښار یوه حساسه امنیتي سیمه بلل کیږي، چېرې چې د پولیس مشرانو دفترونه او د ځينو هغو کورونه هم دي.
              .                          ",0
   منی چی مونږیی حیران کړی یو,0
   اسلامی سازمان مه ورته وائ دکفاروغلامي سازمان ي بولئ,2
   مجاهد صیب دا ستاسو خبری دلیل کیدای نشی د انجونو د مکاتبو تړلو ته دا ظلم دی د مکاتبو یوه ورځ تړل فاجعه دی ستاسو دا دلیلونه قانع بخش ندی په بښنی سره,1
"د اسلامي همکاریو سازمان پر افغانو ښځو له دغه نوي بندیز وروسته یو ځل بیا پر طالبانو غږ کړی چې پر ښځو د بندیزونو په اړه پر خپلو پرېکړو بیاکتنه وکړي.
              .                          ",1
"   ماشاالله
ډير ښه اقدام ده",1
"   تاسوولی داسی پریکړی کوی
دغه اولس زیات مظلوم دی",1
   لوستونکي بايد خپله فيصله وکړي ټرمپ بنسټيز درواغجن خو د        مقاله د ټرمپ په اړوند دويلو وړتيا لري - که څه هم        د يو هغه هيواد راديو ده چه په زرګونه په هيواد مئين او بيګناه افغانان ئي وژلي. شهزاده            ئي يو ژوندئ مثال دئ چه دټولې دنيا په مخ ئي د۲۵ افغانانو دواژنی اقرار وکړو.,0
"د امریکا مخکېني ولسمشر ډونلډ ټرمپ یو ځل بیا له افغانستانه د امریکايي ځواکونو په وتلو نیوکه کړې او ویلي دي چې طالبان اوس د امریکايي ځواکونو پر مختللي تجهیزات او وسلې لري، چې د شپې دوربینونه هم پکې شامل دي.

              .                          ",0
   ماشاءالله دا سومرا ښه خبر ده,1
"    ڈیر خہ
آمن و آمان ھم پکار دے چی سرمایہ کار خپل ھم پہ امن وی او دہ بیرونی دنیا نہ ھم راش",1
"   خیردقیامت په ورځ به دمظلوم پوښتنه کیږی
دغه خلګ چی دطریقی زدخلک دی
جواب به خامخ تری غواړی",1
دا لرغونې ودانۍ لومړیو کې د انګریز ډګروال جیمز اکیلس استوګنځای و              ,0
   که‌هر رنګ کيسه وه خو دي تاسو غول وس هم فه افغانستان کي راته فتي سول,2
   هاهاها,0
   غول خوري دا خرکوس سره يي د هغه خر اميرالخيرن,2
"   د پوښتنو په اړه يي هيڅ جواب نه درلود هسي چټیات وايي. 
دا او دا مشکلات دي فقط سرليکونه یی تکراروي، دا ٥٠٠ ورځي تاسی د هر ځانګړي سرلیک په اړه څه کړئ دئ
دا مشرتابه لکه چي په کوم بله دنیا کی ده چی هیڅ مالومات یی نشته او نه کوم ویاند لري.",2
"ددې اور تاریخ تر میلاد ډېر وړاندې لرغونو پېړیو ته رسېږي چې د تاریخي روایتونو پربنسټ، له ۵۵۰ قبل المیلاد راهیسې دا اور پخپل سر بل شوی او تر نن ورځې لمبې وهي                         ",0
                زبردست سر جی,0
   مرګ په آمریکا,۲
   ښه خبره ده,1
   د بریښنا او انټرنیټ ستونزه زیاته ده   ,2
   د ترمپ مور بابا غنی وروغوله,2
"په رپوټ کې راغلي، د اسلامي چارو وزات مامورانو د یوه جومات اړوندو ودانیو د مخالفت یوه بېلګه راخیستې چې له څو کلونو راهیسې په کرایه ورکړل شوی و، ځینې کرایه ورکوونکي وايي، دوی د کرایې پیسې د جومات امام ته ورکولې.     ",0
"   زما په نظر چې بايد شخصي استاذ ورته ونيسي او همدارنګه انټرنېټ ته لاسرسی ورته برابر کړي، ددې په پواسطه به دوی ډېر انلاين صنفونه واخيستلی شي.",1
بیا يو ميل کلاشينکوف هم ورکړئ چې ښه امنيت يي خوندي شي,1
"په کندهار کې یو شمېر ښځینه روغتیاپالانو هم بي بي سي ته تایید کړې چې ترې غوښتل شوي له دې وروسته دې له خپل یوه محرم سره خپلو کارځایونو لاړې او راشي.

              .                          ",0
"   دښمن مو  د بهادري  توصیف خپله کوی
او دا نور حزیات تاسو له زانه زیات کړی",1
"   امریکي تروریستانوته هر کله ملاتړ کوي، او دغه موضوع ټولو ته معلوم دي.",0
"ملګري ملتونه: که ښځینه بشردوستانه کارکوونکو ته افغانستان کې د کار اجازه ونه لري، نو موږ به د پلان له مخې د بشردوستانه مرستو رسولو توان ونه لرو، په تېره هغو شپږ میلیون خلکو ته چې د لوږې پر پاڼ ولاړ دي.
              .                          ",2
   ولاکه د سړی سر په خلاصیږی چی دا د بیچاره ولس په ګټه ده که تاوان,0
   بیشکه افغانستان اسلامی امارت,1
"ددې اور تاریخ تر میلاد ډېر وړاندې لرغونو پېړیو ته رسېږي، چې د تاریخي روایتونو پربنسټ، له ۵۵۰ قبل المیلاد راهیسې دا اور پخپل سر بل شوی او تر نن ورځې لمبې وهي. 
              .                          ",0
   الله مو تباه که محرم يې خپله دنده خوشی کي چی دوی ورسوي,2
   داخوڈيرشه خبر دى زكه دهريوامنيت خوندى سى,1
هغه باجوړ مدرسه په حوب کي درځي کنه,0
"استغفرالله تاسو غوندي بغراته مونږ ته لاره ښيي تاسو خپل عزت ناموس د غرب ګټو لپاره  خاورې کړه.  تاسو د دسيسي جوړاونکي ياست. 
اعوذ بالله من شيطان رجيم",2
   نیوکه کول څه ګټه,2
"په کندهار کې یو شمېر ښځینه روغتیاپالانو هم بي بي سي ته تایید کړې چې ترې غوښتل شوي له دې وروسته دې له خپل یوه محرم سره خپلو کارځایونو لاړې او راشي.

              .                          ",0
  دښمن نه اقا,0
   خوند دا كوي چي دښمن دي هم په خپل کور شجاعت او بهادري تعريف وکړي,1
   طالبان نور کوم سند غواړی,0
   را کړی یی ندی بلکی لکه د ماینی څخه په وچ زور او بدماشی مو ځنی واخیسته,1
   زمونږ دوربین په زیړه ګوګشکه کی وه تاسی نه لیدو           ,1
   ھغه مو هم په جنګ کې دسکه ونيول ګوذاونړه,1
"دا لرغونې ودانۍ لومړیو کې د انګریز ډګروال جیمز اکیلس (                                                   ) استوګنځای و.

نوموړی له ۱۷۹۷-۱۸۰۵ کلونو پورې حیدراباد محکمه کې د بریتانویانو استازی و.

              .                          ",0
   لعنت دی ستا او ستا په هغه مفسدو اوجاهلو مشرانه وي اوس دخپل ناموس باندی سیاست چلولۍ چی په رسمیت مو وپیژني هی ستاسو په عقل کی ... وکړم,2
"ده د شنبې به ورځ وینا کې وویل طالبان ښه جنګیالي دي، خو هېڅ کله یې د شپې لخوا د جګړې توان نه درلود، ځکه چې دوی دا دوربینونه نه لرل. خو موږ ورته په زرګونه نوي موډل ولا ورکړل چې له غوره دي او نوي موډلونه دي             ",0
رپوټ کاږي دوی د خدای په خونه اختلاس کړی... هغه امامان او مؤذنین نیول شوي چې د جومات اړوندې برخې یې په څه باندې نیم میلیون ریال کرایه ورکړې وې               ,2
"لوی بیزوګان د اړیکو لپاره اشارې کاروي
یوې نوې څېړنې ویلي، انسانان په طبیعي ډول د شیمپانزي او بونوبو بیزوګانو پر هغو اشارو او حرکتونو د پوهېدو وړتیا لري چې دوی یې له یو بل سره کاروي               .                          ",0
"دا لرغونې ودانۍ لومړیو کې د انګریز ډګروال جیمز اکیلس (                                                   ) استوګنځای و.

              .                          ",0
"د فلسطین روغتیايي چارواکي وایي، یو اتلس کلن فلسطینی د اشغال شوې لویدیځې غاړي په یوه ښارګوټي کې د اسرائیلو ملکي امنیتي ډلې لخوا په ډزو وژل شوی دی
د دغه زلمي وژنه په داسې حال کې وشوه چې په ختیځ بیت المقدس کې د جمعې پر ورځ د یهودیانو پر یوه عبادت ځای د برید له کبله ۷ کسان ووژل شول               .                          ",2
   ههههههههه مشرتابه که مشرکین بابه,2
په اسلام اباد کې د عدم تشدد د سر لاري باچاخان او سیاستوال ولي خان د تلین په لړ کې دوه ورځنی کنفرانس جوړ شوی چې پکښې د پاکستان یو شمېر سیاستوالو ګډون کړی او د هغوی پر ژوند او مبارزه يې د ویناو تر څنګ د پاکستان پر اوسني وضعیت هم خبري کړې دي.               .                          ,1
   ورته وایه ښه کونه دی سوزی      ,2
   خره,2
"د امریکا مخکېني ولسمشر ډونالډ ټرمپ یو ځل بیا له افغانستانه د امریکايي ځواکونو په وتلو نیوکه کړې او ویلي دي چې طالبان اوس د امریکايي ځواکونو پر مختللي تجهیزات او وسلې لري، چې د شپې دوربینونه هم پکې شامل دي.
              .                          ",2
   دغه لوبي ولي په لیست کښي نشته,2
"د افغانستان کرکټ بورډ ویلي، د افغانستان کرکټ ملي لوبډله به د فبرورۍ له ۱۶مې تر نولسمې له متحده عربي آماراتو سره د دریو نړیوالو شل اوریزو سیالیو لپاره سفر وکړي.

              .                          ",0
"   طالبان ولې د ښځو او نجونو دښمنان دي؟
له ښځو او نجونو سره د طالبانو دښمني په پښتني دود او د پشتونوالی کلتور ده او اسلامي ریښې لري؟",2
   پر تا دی لعنت او او ستا په رهبری دی هم لعنت وی د خبیث شیطان بچیه,2
"   ته بی بی سی خو هم یوه احمقه شبکه یاست 
فقط خلک په جنگ اچوی د خبرونه سخه مو هیچا نفع‌ ندی اخیستی 
دا د اسلامی شرعي نظام فيصله ده 
باید انتظار اوباسي تر امر ثانی پوری
تر سو هغوی ته مطمئن امکانات د تعلیم په بنیاد آماده کړی",0
"د پاکستان مالیې وزیر اسحاق ډار اعلان کړی چې په دغه هېواد کې به د پترولو نوي نرخونه سملاسي عملي کیږي.
له نوي اعلان سره هلته د پټرولو او ډيزلو هر لېټر ۳۵ پاکستانۍ کلدراې لوړ شوي.
              .                          ",2
   لکه چه پسرلي کې هم نه کیږي نو سر یې وخوړ,2
"له ۱۹ کلونو د کم عمره نجونو په نړیوال جام پای لوبه کې هندۍ لوبډله له انګلنډ سره مخ وه.
پدې لوبه کې انګلنډ  په ۱۷ اورونو کې یوازې د ۶۸ منډې جوړې کړې چې وروسته بیا هندوستان په ډېرې اسانۍ یوازې د درېیو لوبغاړو په سوځېدو سره په ۱۴م اوور کې پوره کړ.               .                          ",0
ماشاءالله خه جواب ی ورکړي,1
   ما ډیر دروغجن او منافق خلک لیدلی خو د اوس دروغجن منافق ذبیح الله او ورسره ډله یې ده. دوۍ فکر کوي ولس واښه خوري په خه او بد نه پوهیږي,2
   تاغوندي لوڼه چه څوک زیږوي نوسپی چه وزیږوي ښه دي لوردپه انکريزانوډول ډول کړه اسلام پښتانه دي دواړه وشرمول الله دتاسې په دواړوچهانوخوارذليل شرمينده کړي,2
"   دا ترور ته وایم چه که ابلیس سی آی ای وغواړي د ۴۸ ساعتو په ترڅ کی د آی اس آی =داعش له طریقه پرانیستل کیږي 
هماغسی چه د دریم شاه شجاع کرزی او د جاهل ګلمرجان ژوند او شتمنی تضمین شو. آن د شاه شجاع د فاسد ورور د کابل بانک ستر غل",2
"   ېواصلی مشکل دلته د تور لیست نه د راوتلو مسله هم ده، چی د جمهوریت او د امارت د ګډ حکومت د نجوړېدو له کبله رامنځ ته شوى ده. دلته د راتلونکى نسل قربانېدل کېداې شى چى ېواځېنې هېله او چاره اوسى،ولى نړېوالو سره دافغانانو غم نشته بلکه د هغوى اساسى غوښتنې دې...",2
"د ملالې یوسفزۍ مور او پلار، تورپېکۍ یوسفزۍ او ضیا‌‌ءالدین یوسفزي له طالبانو غوښتي چې ژر تر ژره دې تړلي ښوونځي د نجونو پر مخ پرانیزي. 
ښاغلی یوسفزی وايي، د طالبانو دغه پرېکړه د افغانستان راتلونکي سره ز یاتی او د لکونو نجونو له ""بنیادي حقه سرغړونه"" ده               .                          ",1
"درنو ملګرو او د ټويټر فعالانو ، هيله ده چې زموږ اکونټ درسره فالو او وړاندې نشر کړئ ترڅو له هغو حقايقو څخه خبر شئ چې په افغانستان او د افغانستان اړوند پېښېږي.                      ",0
   دسوات بختي رحمان اوس د ریل مشردی؟,0
"   طالبان افغانان، انسانان اومسلمانان نه دي. دا دنړۍ دتروریستانو اوجنایتکارانو خلافت دی اوغربیانوهم دعادي افغانانوسره خیانت اودې انټرنیشنل تروریستي ډلې سره یی سازش وکړ.",2
   پنځه سوه کاله افغانستان له نړی څخه وروسته پاتی شو,2
   الله دي تاسو تباه او برباد کړې,2
   په ټولو افغانانو باندي ترخی ورځی دی,2
"۵۰۰ ورځې کېږي چې طالبانو له شپږم پورته د نجونو پر مخ د ښوونځیو دروازې تړلي. میندې او پلرونه څنګه کولی شي خپلو اولادونو ته په کورونو کې د زدکړې مناسب چاپیریال رامنځته کړي؟
نظرونه مو په کمېنټونو کې راسره شریک کړئ.               .                          ",0
   الله پاک دې تاسې خبثان تباه او برباد کړي,2
   حفظه الله,1
   تاسو پدې مرکه کي بيا نوي درواغ جوړه وۍ. تاسو د اولی ورځی دروغ ويل چه نجونو ته ښونځيو خلاصون دطالبانو بنيادي سياست دئ. تاسو او دتاسو ملګري ولی دسلفيانو او واهبيانو په مخه کلک نه داريږۍ؟ ددي په ځائ ورځی نه بلی ته د  نويو دروغو په جوړه ولو انديښمن ياست. يوه ملا ته دروغ ويل شرم ندئ؟,2
 اوزہ ھغہ انجونی پہ خوب کی ونم چی مکتب تہ بہ راتلے,1
   د عثمان تقي د فيصلي سره تړلي دي,0
"   دا مجاهد ډیر درواغ وویل ، تالب بیخی داینجونو تعلیم نه غواړی دا هسی چټی بهانی کوی او هیڅ منطق یی نه منی.",2
   تف,2
   ښځه مو غ ی په دا جاهل منطق او دلیل.. ولی صاف صاف نه وایی چی پنجاپ اجازه نه ورکوی. ګوډاګی یاست,2
                     ,
   وايي چې شيطانانو هره ورځ دندې سپارل کيږي چې مسلمانان خطا باسي خو ګوډ چې تګ نشي کوولی نو هغه په لاره کې کښينوي کوم کسان چې پر لاره تېريږي د هغوئ پايزار   بوټونو ته شګې ور اچوي تر څو تکليف ورته ورسوي ما ويل چې        نور دروغ په لاس ور نه شي نو همدا دنده تر سره کوي لعنت الله عليکم,2
   تاسی به هم دیرشیان په خوب وینی دشیطانت ګوډو الله موتباکه نورافغانستان کی هیڅ نسته,2
"   په لور او خور وشرميږي ، طالب مشرانو",2
"   تر هغه چه ناپاک اجازه ورکړی نه وي غلام طالب په ژوند کولای نشي چه  د ښوونځیو دروازی خلاصی کړي 
دا بیشرم غلام ذبیح منافق د ناپاک به یو فرمان خپل تویت حذف کړل او غلام ناپاک نقشی داسی تغییر ورکړل چه د افغانستان زیاتره خاوره ناپاک ته ورکړل شوی ده               .                          ",2
   هههههههه سخت خبرونه نشروی واړه کوچني موـله ځانه جوړ دي غرق شئ,2
   دغه خوبونه دی اوبوته ووایی,0
"افغانستان کې د طالبانو حکومت وايي، له شپږم پورته د ښوونځیو پرانیستو لپاره ""مشخصه نېټه"" نه شي په ډاګه کولی. د طالبانو ویاند ذبیح الله مجاهد بي بي سي پښتو سره په مرکه کې وویل، د ښوونځیو پرانیستو مسله د طالبانو د مشرتابه له پرېکړې سره تړلې. حفیظ الله معروف ورسره مرکه کړې               .                          ",0
   تاسو به هره ورځ په خوب کې دروغ وایاست,2
   تاسویی در اوغواړی دغلته به مکتبونه ورته خلاص کړی آزادی به هم ترلاسه کړی,1
                                    الحمدالله,1
"د ښوونځي یوې افغانې زده کوونکې بي بي سي پښتو پاڼې ته خپل احساسات لیکلي، چې افغانستان کې طالبانو له ۵۰۰ ورځو راهیسې له ښوونځیو را ګرځولې دي. د خوندیتابه لپاره یې دلته نوم مستعار او د ښوونځي ځای ځایګی نه په ډاګه کوو.                  ",0
   بیخی نور خبرونه درباندی دریدلی بندیز او ښځی,0
د ۲۰۲۱ کال د سپتمبر پر ۱۷مه تر شپږم پورته د نجونو ښوونځيو د بندښت په اړه د طالبانو حکومت پرېکړې هماغه مهال په کورنۍ او نړیواله کچه پراخ غبرګونونه وپارول. جزیات یې پر دې ژوندۍ پاڼه ولولئ        ,0
   نو تاسی تیی څه شیطا نانو,2
"رپوټونه وايي، تر دې دمه د پېښې له ځایه لږ تر لږه ۴۱ مړي ویستل شوې او ۴ ټپيان په سخت ټپي حالت تر روغتونه رسول شوي دي.                   ",2
هم واوښته خبر نه يي,0
"که څه هم بېلابېلو طالب چارواکو ویل، پر ""یوې طرحې کار روان دی"" او ژمنې یې کولې چې ""ژر به دا ښوونځي پرانیستل شي"" خو ولې شاوخوا اوولس میاشتې وروسته یې هم دا خبره عملي‌ نه کړه؟
په دې رپوټ کې مو کتنه ورته کړې ده.    ",0
   ډير شه اقدام د ااا ده,1
   پہ لوڑو شیریخ خورہ ځیګر بی سوړ وی,1
   دواشنټن زامونوهغه قران مجیدچی په ورکی لولفه سوولی موخولی بندی وی,2
 ډیر ښه خدا دی له تومان  نه هم ټیټی کړی,1
"ایران وايي، له دې برید څو ساعته مخکې د اصفهان د ""مهماتو"" د تولید په یوه کارخونه کې یوه لویه چاودنه شوې ده.

              .                          ",2
"   د افغانستان چریمو کوم کار د اسلام سره برابر دی غلا، لواطت، د بیت المال سره خیانت، په زور د شزو سره نکاح کول و غیره چی دا عمل به یی د اسلام سره برابر وی.",2
"له هغه راهیسې چې طالبان د ۲۰۲۱ کال د اګست پر ۱۵مه بېرته پر افغانستان واکمن شوي، په تېرو شاوخوا ۱۷ میاشتو کې یې تر بل هر څه ډېرې توصیې او فرمانونه پر ښځو محدودیتونو لګولو باندې ورټول پاتې شوي.
              .                          ",0
   د هرا منډوی ساتنه د چا زمه واري ده,2
   والله بالله تا لله دا می دزړه د سکون ورځې آرام پکي ډیر یم,1
